Title,Director,Actor1,Actor2,Actor3,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10,Genre,This is a blurb!,0,0,image.jpg
Toy Story,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,animation,comedy,friendship,adventure,pixar,classic,toys,family-friendly,technology,coming-of-age,Animation,A cowboy doll feels threatened and jealous when a new space ranger figure takes his place as the owner's favorite toy.,81,1995,toyStory.jpg
The Lion King,Roger Allers,Matthew Broderick,Jeremy Irons,James Earl Jones,animation,musical,adventure,classic,disney,family-friendly,animal,emotional,coming-of-age,epic,Animation,A young lion prince flees his kingdom after his uncle blames him for his father's death later returning to reclaim his throne.,88,1994,lionKing.jpg
Spirited Away,Hayao Miyazaki,Rumi Hiiragi,Miyu Irino,Mari Natsuki,animation,fantasy,adventure,magic,japanese,ghibli,emotional,supernatural,classic,coming-of-age,Fantasy,A young girl is forced to work at a bathhouse for spirits after her parents are transformed into pigs.,125,2001,spiritedAway.jpg
Up,Pete Docter,Ed Asner,Jordan Nagai,Bob Peterson,animation,adventure,emotional,pixar,comedy,friendship,elderly,travel,balloon,family-friendly,Adventure,A retired balloon salesman ties thousands of balloons to his house to fulfill a lifelong dream of seeing South America.,96,2009,up.jpg
Frozen,Chris Buck,Kristen Bell,Idina Menzel,Josh Gad,animation,musical,fantasy,disney,magic,family-friendly,sisterhood,emotional,snow,adventure,Musical,A newly crowned queen accidentally curses her home in infinite winter and her sister must set out to save her.,102,2013,frozen.jpg
Zootopia,Byron Howard,Ginnifer Goodwin,Jason Bateman,Idris Elba,animation,comedy,animal,crime,mystery,friendship,social-commentary,funny,family-friendly,city,Comedy,A rookie bunny cop teams up with a cynical fox to uncover a conspiracy in the animal-filled city of Zootopia.,108,2016,zootopia.jpg
The Incredibles,Brad Bird,Craig T. Nelson,Holly Hunter,Samuel L. Jackson,animation,action,superhero,family,pixar,adventure,classic,high-tech,comedy,crime,Action,A family of undercover superheroes is forced into action to save the world.,115,2004,incredibles.jpg
How to Train Your Dragon,Dean DeBlois,Jay Baruchel,Gerard Butler,America Ferrera,animation,fantasy,adventure,friendship,dragons,flying,emotional,coming-of-age,viking,family-friendly,Fantasy,A young Viking who doesn't fit in befriends a rare dragon changing the future of his tribe.,98,2010,httyd.jpg
Shrek,Andrew Adamson,Mike Myers,Eddie Murphy,Cameron Diaz,animation,comedy,fairy-tale,adventure,funny,classic,friendship,magic,romance,family-friendly,Comedy,An ogre finds his solitude disrupted by fairytale creatures and must rescue a princess to get his swamp back.,90,2001,shrek.jpg
Moana,Ron Clements,Auli'i Cravalho,Dwayne Johnson,Rachel House,animation,musical,adventure,disney,ocean,magic,family-friendly,polynesian,strong-female-lead,coming-of-age,Musical,A young woman uses her sailing talents to save her people meeting a demigod along the way.,107,2016,moana.jpg
Coco,Lee Unkrich,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,animation,musical,fantasy,pixar,family,emotional,day-of-the-dead,mexican-culture,music,adventure,Fantasy,A young boy journeys into the Land of the Dead to find his great-great-grandfather a legendary singer.,105,2017,coco.jpg
Finding Nemo,Andrew Stanton,Albert Brooks,Ellen DeGeneres,Alexander Gould,animation,adventure,emotional,pixar,family,ocean,friendship,classic,travel,animal,Adventure,A clownfish father crosses the ocean to find his son who was taken from the Great Barrier Reef.,100,2003,findingNemo.jpg
Inside Out,Pete Docter,Amy Poehler,Phyllis Smith,Richard Kind,animation,comedy,emotional,pixar,coming-of-age,memory,mind-bending,family-friendly,complex,unique-style,Comedy,The emotions inside a young girl's mind guide her through a difficult life change.,95,2015,insideOut.jpg
Spider-Man: Into the Spider-Verse,Bob Persichetti,Shameik Moore,Jake Johnson,Hailee Steinfeld,animation,action,superhero,multiverse,visually-stunning,high-tech,coming-of-age,crime,unique-style,franchise,Action,Teenager Miles Morales becomes Spider-Man and joins forces with different versions of Spider-People from other universes.,117,2018,spidermanSpiderVerse.jpg
My Neighbor Totoro,Hayao Miyazaki,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,animation,fantasy,magic,ghibli,nature,family-friendly,classic,friendship,emotional,japanese,Fantasy,Two young sisters move to the country and discover friendly wood spirits including the huge Totoro.,86,1988,totoro.jpg
The Lego Batman Movie,Chris McKay,Will Arnett,Michael Cera,Rosario Dawson,animation,comedy,superhero,funny,franchise,action,family-friendly,brick-building,stylized,vigilante,Comedy,Batman must learn to work with others when The Joker threatens to take over Gotham City.,104,2017,legoBatman.jpg
Despicable Me,Pierre Coffin,Steve Carell,Jason Segel,Russell Brand,animation,comedy,supervillain,funny,family,franchise,adoption,classic,action,high-tech,Comedy,A supervillain plots to steal the moon but finds his plans complicated by three orphaned girls.,95,2010,despicableMe.jpg
Ratatouille,Brad Bird,Patton Oswalt,Ian Holm,Lou Romano,animation,comedy,food,paris,pixar,funny,ambition,classic,emotional,family-friendly,Comedy,A rat with a refined sense of taste dreams of becoming a great French chef.,111,2007,ratatouille.jpg
Beauty and the Beast,Gary Trousdale,Paige O'Hara,Robby Benson,Jesse Corti,animation,musical,romance,disney,classic,magic,fantasy,emotional,family-friendly,princess,Musical,A young woman takes her father's place as prisoner in a castle inhabited by a prince turned into a Beast.,84,1991,beautyAndBeast.jpg
Wall-E,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,animation,sci-fi,romance,future,technology,space,emotional,dystopian,family-friendly,classic,Sci-Fi,A lonely garbage-collecting robot chases the love of his life across the galaxy in a future where Earth is uninhabitable.,98,2008,wallE.jpg
